               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.036626,            0.013708,           0.0055706,             0.92798,             0.89483,             0.91247,             0.45468,            0.033746,            0.011374,           0.0026943,              0.0784,              0.0024,              0.0024
                   1,            0.041005,            0.014801,           0.0033591,             0.88646,             0.87244,             0.86964,             0.33293,            0.043411,            0.011479,           0.0028822,            0.055876,           0.0048757,           0.0048757
                   2,            0.045581,            0.014131,           0.0049089,             0.83223,             0.86533,             0.86414,             0.36907,            0.041077,             0.01168,             0.00337,            0.033327,           0.0073267,           0.0073267
                   3,             0.04722,            0.014344,           0.0066817,             0.81549,             0.81419,             0.81106,             0.31064,             0.04499,            0.011715,           0.0039152,            0.010753,            0.009753,            0.009753
                   4,            0.049768,             0.01433,           0.0061415,             0.71467,             0.73325,               0.688,             0.23919,            0.051444,            0.011698,           0.0044233,            0.009802,            0.009802,            0.009802
                   5,            0.048396,            0.015312,            0.007403,             0.86081,             0.84006,             0.83967,             0.34995,            0.044496,             0.01189,            0.004158,            0.009802,            0.009802,            0.009802
                   6,            0.046926,            0.014167,           0.0067342,             0.88956,             0.84215,             0.84991,             0.30593,            0.045558,            0.012069,           0.0042565,           0.0097525,           0.0097525,           0.0097525
                   7,            0.047443,            0.016175,           0.0075353,             0.79441,             0.82059,             0.80679,             0.36514,            0.046766,            0.014387,           0.0055147,            0.009703,            0.009703,            0.009703
                   8,            0.046458,            0.015097,           0.0075298,             0.85286,             0.82188,                0.82,             0.36833,            0.044715,            0.011778,            0.003981,           0.0096535,           0.0096535,           0.0096535
                   9,            0.044773,            0.015016,           0.0075051,              0.7805,             0.80593,              0.7953,             0.35123,            0.047013,            0.012234,           0.0044454,            0.009604,            0.009604,            0.009604
                  10,             0.04793,            0.015703,           0.0072506,             0.85982,             0.75665,             0.79444,             0.34259,            0.047148,            0.014688,           0.0050907,           0.0095545,           0.0095545,           0.0095545
                  11,            0.049226,            0.014808,           0.0060245,             0.88587,             0.83727,             0.85964,              0.3951,             0.04202,            0.012411,           0.0046642,            0.009505,            0.009505,            0.009505
                  12,            0.050634,             0.01524,           0.0067146,             0.91243,             0.81689,             0.87101,             0.39008,            0.044187,            0.012124,           0.0046103,           0.0094555,           0.0094555,           0.0094555
                  13,            0.049133,            0.015557,            0.007118,             0.91477,             0.87765,             0.89757,             0.42538,            0.040302,            0.011616,           0.0045488,            0.009406,            0.009406,            0.009406
                  14,            0.045771,            0.015713,           0.0064565,             0.92389,             0.85451,             0.88416,             0.40673,            0.040726,            0.012198,           0.0053284,           0.0093565,           0.0093565,           0.0093565
                  15,            0.046612,            0.015468,           0.0084223,             0.89731,             0.83314,             0.86151,             0.37284,             0.04282,            0.012215,           0.0047005,            0.009307,            0.009307,            0.009307
                  16,            0.045563,            0.015493,            0.007842,             0.87709,             0.82708,             0.86231,              0.3883,            0.041738,             0.01241,           0.0068029,           0.0092575,           0.0092575,           0.0092575
                  17,             0.04453,            0.015854,           0.0061194,             0.90004,             0.82195,             0.85161,             0.38421,             0.04281,            0.012231,           0.0054842,            0.009208,            0.009208,            0.009208
                  18,            0.047619,            0.015444,           0.0060311,             0.89716,             0.79254,             0.84464,             0.37444,            0.045598,            0.012235,           0.0049654,           0.0091585,           0.0091585,           0.0091585
                  19,            0.046804,            0.015739,           0.0073068,             0.89386,             0.87817,             0.89141,             0.39813,            0.041884,            0.011974,           0.0063501,            0.009109,            0.009109,            0.009109
                  20,             0.04636,            0.015549,           0.0063887,             0.92827,             0.86646,             0.89048,             0.41274,            0.040626,            0.012329,           0.0054607,           0.0090595,           0.0090595,           0.0090595
                  21,            0.044515,            0.014729,           0.0073427,             0.89498,             0.81582,             0.85319,              0.3904,             0.04003,            0.013168,           0.0062643,             0.00901,             0.00901,             0.00901
                  22,            0.045521,            0.015318,           0.0066747,             0.88807,             0.82108,             0.85943,             0.38448,             0.04072,            0.012018,           0.0060143,           0.0089605,           0.0089605,           0.0089605
                  23,            0.046031,            0.015471,           0.0066833,             0.92222,             0.83047,             0.86435,             0.40896,            0.040202,            0.012173,           0.0042444,            0.008911,            0.008911,            0.008911
                  24,            0.042962,            0.015281,            0.005384,             0.92533,             0.84437,             0.87534,             0.40874,             0.04039,            0.012276,           0.0041754,           0.0088615,           0.0088615,           0.0088615
                  25,            0.042112,            0.015417,           0.0056071,             0.94612,             0.82604,              0.8713,             0.40328,            0.039564,            0.012501,           0.0040989,            0.008812,            0.008812,            0.008812
                  26,            0.044631,            0.015845,           0.0074907,             0.91949,             0.82807,             0.86443,             0.41036,            0.041608,            0.013156,           0.0046257,           0.0087625,           0.0087625,           0.0087625
                  27,            0.044841,            0.015605,           0.0069968,             0.88923,             0.84378,              0.8723,             0.40461,            0.039186,            0.012922,           0.0070837,            0.008713,            0.008713,            0.008713
                  28,            0.045262,            0.015683,           0.0051944,             0.94184,             0.84296,             0.88042,             0.40737,            0.040566,            0.012174,           0.0038274,           0.0086635,           0.0086635,           0.0086635
                  29,            0.043872,            0.015465,           0.0047086,             0.93467,             0.84531,              0.8925,             0.41863,             0.04112,            0.012112,           0.0047396,            0.008614,            0.008614,            0.008614
                  30,            0.043168,            0.015277,           0.0053791,             0.94583,             0.82695,              0.8924,             0.42308,             0.03856,            0.011221,           0.0039991,           0.0085645,           0.0085645,           0.0085645
                  31,            0.044598,            0.014875,           0.0045022,             0.89538,             0.82122,             0.86696,             0.41025,            0.038101,            0.014548,           0.0043894,            0.008515,            0.008515,            0.008515
